item_id,knowledge_code
0,[158]
1,[221]
2,[80]
3,[179]
4,[7]
5,[153]
6,[126]
7,[153]
8,[153]
9,[153]
10,[56]
11,[48]
12,[80]
13,[48]
14,[55]
15,[39]
16,[80]
17,[96]
18,[44]
19,[149]
20,[0]
21,[126]
22,[153]
23,[80]
24,[126]
25,[215]
26,[80]
27,[11]
28,[104]
29,[104]
30,[104]
31,[104]
32,[104]
33,[104]
34,[104]
35,[104]
36,[104]
37,[104]
38,[104]
39,[104]
40,[104]
41,[104]
42,[104]
43,[104]
44,[104]
45,[104]
46,[104]
47,[104]
48,[104]
49,[104]
50,[104]
51,[104]
52,[104]
53,[104]
54,[104]
55,[3]
56,[104]
57,[104]
58,[104]
59,[104]
60,[104]
61,[104]
62,[104]
63,[104]
64,[104]
65,[67]
66,[104]
67,[37]
68,[104]
69,[37]
70,[37]
71,[37]
72,[104]
73,[104]
74,[3]
75,[14]
76,[104]
77,[3]
78,[168]
79,[36]
80,[131]
81,[80]
82,[168]
83,[48]
84,[48]
85,[48]
86,[96]
87,[168]
88,[130]
89,[29]
90,[39]
91,[215]
92,[40]
93,[86]
94,[48]
95,[215]
96,[154]
97,[154]
98,[108]
99,[108]
100,[138]
101,[113]
102,[14]
103,[48]
104,[153]
105,[221]
106,[215]
107,[48]
108,[215]
109,[108]
110,[113]
111,[113]
112,[215]
113,[69]
114,[15]
115,[80]
116,[215]
117,[16]
118,[48]
119,[104]
120,[104]
121,[67]
122,[104]
123,[104]
124,[104]
125,[104]
126,[104]
127,[3]
128,[104]
129,[104]
130,[104]
131,[104]
132,[3]
133,[104]
134,[67]
135,[3]
136,[104]
137,[104]
138,[104]
139,[104]
140,[104]
141,[104]
142,[104]
143,[104]
144,[3]
145,[104]
146,[104]
147,[104]
148,[104]
149,[67]
150,[104]
151,[237]
152,[17]
153,[17]
154,[1]
155,[237]
156,[237]
157,[231]
158,[1]
159,[237]
160,[1]
161,[237]
162,[199]
163,[1]
164,[1]
165,[209]
166,[209]
167,[177]
168,[37]
169,[37]
170,[37]
171,[37]
172,[37]
173,[37]
174,[37]
175,[37]
176,[37]
177,[37]
178,[37]
179,[37]
180,[37]
